x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.0,-2.356194490192345,-2.356194490192345,-2.2212265990193765,-1.9593845353971484,-2.339251077522099,-2.155449520973029,-1.9593845353971484
0.002,-2.2810978594009343,-2.2810978594009343,-2.2153642889234315,-1.9593845353971484,-2.268419318915736,-2.1311515477194636,-1.9593845353971484
0.004,-2.2066044143990133,-2.2066044143990133,-1.9548565926782282,-1.9592625102834234,-2.1975875603093726,-2.106853574465898,-1.9592625102834234
0.006,-2.132714155186581,-2.132714155186581,-2.1841516427648875,-1.9592625102834234,-2.1268351197103796,-2.082131661100589,-1.9592625102834234
0.008,-2.059427081763639,-2.059427081763639,-1.7818004746562808,-1.9590933146738512,-2.0562287476453758,-2.0316797234031667,-1.9590933146738512
0.01,-1.9867431941301854,-1.9867431941301854,-2.146468353542707,-1.9590933146738512,-1.9856223755803715,-1.9659363509118435,-1.9590933146738512
0.012,-1.9146624922862205,-1.9146624922862205,-1.6808527999127365,-1.8395176106593891,-1.9153284538534456,-1.899751210554375,-1.8395176106593891
0.014,-1.843184976231746,-1.843184976231746,-1.9973925768285254,-1.8395176106593891,-1.8453239679626015,-1.8334319165707027,-1.8395176106593891
0.016,-1.7723106459667592,-1.7723106459667592,-1.8051849809081701,-1.8341563186822234,-1.7753194820717573,-1.7671126225870302,-1.8341563186822234
0.018,-1.7020395014912637,-1.7020395014912637,-1.7775036929543053,-1.8341563186822234,-1.7058909248641747,-1.7005559823624414,-1.8341563186822234
0.02,-1.6323715428052568,-1.6323715428052568,-1.9214307456871431,-1.8339253324225657,-1.6368648521795846,-1.6340145078191384,-1.8339253324225657
0.022,-1.5633067699087388,-1.5633067699087388,-1.394546064466883,-1.4979941775635903,-1.5678387794949944,-1.5674730332758353,-1.4979941775635903
0.024,-1.49484518280171,-1.49484518280171,-1.5612729563240189,-1.4977647004515484,-1.4996005759192395,-1.5009648454873106,-1.4977647004515484
0.026,-1.4269867814841706,-1.4269867814841706,-1.5334305436524238,-1.4977647004515484,-1.4318272908022316,-1.434598682811388,-1.4977647004515484
0.028,-1.3597315659561202,-1.3597315659561202,-1.5007329741213293,-1.4975352233395065,-1.364054005685224,-1.3682325201354653,-1.4975352233395065
0.03,-1.293079536217559,-1.293079536217559,-1.2755003279970354,-1.4688973631156392,-1.297188824835783,-1.3021354255991466,-1.4688973631156392
0.032,-1.2270306922684866,-1.2270306922684866,-1.6638825677186606,-1.46866174366662,-1.2308025023281386,-1.2362573359316882,-1.46866174366662
0.034,-1.1615850341089042,-1.1615850341089042,-1.0784152650555257,-1.0791558341426402,-1.1644161798204944,-1.1703792462642297,-1.0791558341426402
0.036,-1.096742561738811,-1.096742561738811,-1.0462201466303145,-1.0460978385249662,-1.098971880300385,-1.1049169080022365,-1.0460978385249662
0.038,-1.032503275158207,-1.032503275158207,-0.7798834796054934,-0.9056531699725451,-1.0342333112041788,-1.0396978970725324,-0.9056531699725451
0.04,-0.9688671743670918,-0.9688671743670918,-0.6412344717617244,-0.9054787608364998,-0.9698374190811172,-0.9744788861428283,-0.9054787608364998
0.042,-0.9058342593654665,-0.9058342593654665,-0.722544928269413,-0.9054787608364998,-0.906659313662306,-0.9097280857360873,-0.9054787608364998
0.044,-0.8434045301533311,-0.8434045301533311,-1.2096848830582538,-0.9053465128577358,-0.844164308032757,-0.8453644598491542,-0.9053465128577358
0.046,-0.7815779867306838,-0.7815779867306838,-1.136324593178881,-0.9053465128577358,-0.7818244570541023,-0.7825326046354092,-0.9053465128577358
0.048,-0.7203546290975256,-0.7203546290975256,-0.9431530621864429,-0.9051530545659979,-0.7206321887042811,-0.7209717267669208,-0.9051530545659979
0.05,-0.6597344572538573,-0.6597344572538573,-0.6764105220813093,-0.67685820232081,-0.6600689551502567,-0.660194028085656,-0.67685820232081
0.052,-0.5997174711996776,-0.5997174711996776,-0.42276402599170115,-0.4952642570947709,-0.5996303404971828,-0.5998276834869668,-0.4952642570947709
0.054,-0.5403036709349873,-0.5403036709349873,-0.544526950238956,-0.4952642570947709,-0.540315170229135,-0.540397277480876,-0.4952642570947709
0.056,-0.48149305645978613,-0.48149305645978613,-0.5169018889435677,-0.4950399371969833,-0.48161989390427007,-0.4815985770072348,-0.4950399371969833
0.058,-0.4232856277740744,-0.4232856277740744,-0.33091342831514914,-0.41652702892919335,-0.423043122052279,-0.4231353549358301,-0.41652702892919335
0.06,-0.36568138487785173,-0.36568138487785173,-0.47237158881336877,-0.41629605653719803,-0.3655811213593415,-0.365587870886164,-0.41629605653719803
0.062,-0.30868032777111853,-0.30868032777111853,-0.44605719230449037,-0.41629605653719803,-0.3087322813248058,-0.30865980327639897,-0.41629605653719803
0.064,-0.2522824564538748,-0.2522824564538748,-0.1119671603961126,-0.20913239836401534,-0.2519967670558561,-0.25205794283897187,-0.20913239836401534
0.066,-0.1964877709261197,-0.1964877709261197,-0.19259571171794115,-0.20913239836401534,-0.19636914092856408,-0.19635988219128178,-0.20913239836401534
0.068,-0.14129627118785448,-0.14129627118785448,-0.2985170593102606,-0.20891577943447054,-0.14134954749293005,-0.14127250951203824,-0.20891577943447054
0.07,-0.08670795723907831,-0.08670795723907831,-0.17236862929061936,-0.20891577943447054,-0.08643944088680122,-0.0865048629379279,-0.20891577943447054
0.072,-0.03272282907979118,-0.03272282907979118,-0.2697525445570561,-0.20868392227702698,-0.032632375716213774,-0.032633048900117444,-0.20868392227702698
0.074,0.020659113290006914,0.020659113290006914,0.14785295710096436,-0.0710749291734501,0.020570106131051813,0.02063367785055348,-0.0710749291734501
0.076,0.07343786987031509,0.07343786987031509,-0.290753870562511,-0.07083930972443087,0.07366559754368861,0.07358470640926418,-0.07083930972443087
0.078,0.12561344066113467,0.12561344066113467,0.2263075053241122,0.22541210648382398,0.12566102806629068,0.12564457573084076,0.22541210648382398
0.08,0.17718582566246477,0.17718582566246477,0.3639191631616056,0.32707022200626457,0.177053846005744,0.17710239335510194,0.32707022200626457
0.082,0.2281550248743054,0.2281550248743054,0.39369616888151693,0.32707022200626457,0.22834103295253838,0.22824653129121988,0.32707022200626457
0.084,0.278521038296657,0.278521038296657,0.2891427402508865,0.3272902299497036,0.27852959478381883,0.27850173760572744,0.3272902299497036
0.086,0.32828386592951864,0.32828386592951864,0.26445743428346424,0.3272902299497036,0.328116398109703,0.3281559943511055,0.3272902299497036
0.088,0.37744350777289215,0.37744350777289215,0.35472453164902285,0.35495128696967876,0.3775980391166668,0.37749713470126184,0.35495128696967876
0.09,0.42599996382677596,0.42599996382677596,0.535303978409388,0.36696680620770655,0.4259814123186761,0.42594943313216826,0.36696680620770655
0.092,0.4739532340911705,0.4739532340911705,0.4800850430870025,0.36715805172102145,0.4737630019893037,0.473800632362496,0.36715805172102145
0.094,0.5213033185660758,0.5213033185660758,0.31273378078360303,0.36715805172102145,0.5214393619934322,0.5213384824265498,0.36715805172102145
