x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.0,-2.356194490192345,-2.356194490192345,-2.6926045206110385,-2.230872709926528,-2.339418906514651,-2.155706443940328,-2.230872709926528
0.002,-2.2810978594009343,-2.2810978594009343,-2.4943632255116746,-2.230872709926528,-2.2685723785217466,-2.131376562444595,-2.230872709926528
0.004,-2.2066044143990133,-2.2066044143990133,-2.255611900809393,-2.230682372022543,-2.197725850528842,-2.1070466809488617,-2.230682372022543
0.006,-2.132714155186581,-2.132714155186581,-2.1976793672842647,-2.1976948792705575,-2.126958832271888,-2.0822928593413867,-2.1976948792705575
0.008,-2.059427081763639,-2.059427081763639,-1.5810196405601524,-1.9542267534826738,-2.056338208179622,-2.031686109994926,-1.9542267534826738
0.01,-1.9867431941301854,-1.9867431941301854,-1.9629059545359304,-1.9542267534826738,-1.9857175840873564,-1.965940915963307,-1.9542267534826738
0.012,-1.9146624922862205,-1.9146624922862205,-2.2766643618842153,-1.9540562385404736,-1.9154100734096335,-1.8997539562502035,-1.9540562385404736
0.014,-1.843184976231746,-1.843184976231746,-1.9056536552707446,-1.9540562385404736,-1.845392517114757,-1.8334328498696781,-1.9540562385404736
0.016,-1.7723106459667592,-1.7723106459667592,-2.044079316544331,-1.95382714140495,-1.7753749608198806,-1.7671117434891528,-1.95382714140495
0.018,-1.7020395014912637,-1.7020395014912637,-1.7666787324029898,-1.7666651423235202,-1.7059343004603977,-1.7005533060962554,-1.7666651423235202
0.02,-1.6323715428052568,-1.6323715428052568,-1.4174228983882378,-1.5132490585791496,-1.636896611113309,-1.6340100482830788,-1.5132490585791496
0.022,-1.5633067699087388,-1.5633067699087388,-1.6086139554555159,-1.5132490585791496,-1.5678589217662202,-1.567466790469902,-1.5132490585791496
0.024,-1.49484518280171,-1.49484518280171,-1.2309115491992086,-1.2953861700078881,-1.4996099835760703,-1.500956845462024,-1.2953861700078881
0.026,-1.4269867814841706,-1.4269867814841706,-1.3318152906741731,-1.2953861700078881,-1.431826225894221,-1.4345889397406393,-1.2953861700078881
0.028,-1.3597315659561202,-1.3597315659561202,-1.23054203343453,-1.2951749371418848,-1.3640424682123715,-1.3682210340192547,-1.2951749371418848
0.03,-1.293079536217559,-1.293079536217559,-1.3862435324917508,-1.2951749371418848,-1.2971672913529653,-1.3021222219348054,-1.2951749371418848
0.032,-1.2270306922684866,-1.2270306922684866,-1.1938621957019544,-1.2189504665870896,-1.2307709854210298,-1.2362424227181272,-1.2189504665870896
0.034,-1.1615850341089042,-1.1615850341089042,-1.2444539984753165,-1.2189504665870896,-1.1643746794890943,-1.1703626235014488,-1.2189504665870896
0.036,-1.096742561738811,-1.096742561738811,-0.9669788670310799,-1.0788509385583895,-1.0989204611458478,-1.1048985899929402,-1.0788509385583895
0.038,-1.032503275158207,-1.032503275158207,-1.190542194282146,-1.0788509385583895,-1.0341858464419715,-1.0396778842804788,-1.0788509385583895
0.04,-0.9688671743670918,-0.9688671743670918,-1.0089558088449082,-1.0087334968815524,-0.9697959563366959,-0.9744571785680176,-1.0087334968815524
0.042,-0.9058342593654665,-0.9058342593654665,-0.8810000940178951,-0.9164704673648116,-0.9066251272888267,-0.9097046853581489,-0.9164704673648116
0.044,-0.8434045301533311,-0.8434045301533311,-0.9516313268774333,-0.9162348479157925,-0.8441378612244917,-0.8453425442141428,-0.9162348479157925
0.046,-0.7815779867306838,-0.7815779867306838,-0.8577590417828129,-0.857789976587154,-0.7818057847949701,-0.7825217466526855,-0.857789976587154
0.048,-0.7203546290975256,-0.7203546290975256,-0.6934243496213203,-0.7018744231281979,-0.7206219116861161,-0.7209720347659074,-0.7018744231281979
0.05,-0.6597344572538573,-0.6597344572538573,-0.6521828923498131,-0.7018744231281979,-0.6600659509743818,-0.6602035066980383,-0.7018744231281979
0.052,-0.5997174711996776,-0.5997174711996776,-0.5686684246170759,-0.7016702004824389,-0.5996346807056385,-0.5998447703076114,-0.7016702004824389
0.054,-0.5403036709349873,-0.5403036709349873,-0.823284132650907,-0.7016702004824389,-0.5403266354239868,-0.5404198995799598,-0.7016702004824389
0.056,-0.48149305645978613,-0.48149305645978613,-0.7721063260539995,-0.7014646485082707,-0.48163817941588905,-0.481626375305676,-0.7014646485082707
0.058,-0.4232856277740744,-0.4232856277740744,-0.5218748388750554,-0.5220407633610337,-0.4230679449200308,-0.42316804963094695,-0.5220407633610337
0.06,-0.36568138487785173,-0.36568138487785173,-0.17626671691287454,-0.3557077901744128,-0.36561181425045064,-0.36562492172522776,-0.3557077901744128
0.062,-0.30868032777111853,-0.30868032777111853,-0.42504248338595774,-0.3557077901744128,-0.308768203352618,-0.30870073822570565,-0.3557077901744128
0.064,-0.2522824564538748,-0.2522824564538748,-0.46512432150335115,-0.35550031375059693,-0.2520373804741305,-0.25210238294101905,-0.35550031375059693
0.066,-0.1964877709261197,-0.1964877709261197,0.01275824360323538,-0.24554021475397866,-0.19641347797444603,-0.19640713341777194,-0.24554021475397866
0.068,-0.14129627118785448,-0.14129627118785448,-0.4517332044773146,-0.24531280623113727,-0.14139675599611332,-0.14132196608018782,-0.24531280623113727
0.07,-0.08670795723907831,-0.08670795723907831,-0.29793946649868547,-0.24531280623113727,-0.0864888277271506,-0.08655603023280643,-0.24531280623113727
0.072,-0.03272282907979118,-0.03272282907979118,0.23539012473389853,0.06668617364498246,-0.03268281884969109,-0.03268508008788429,0.06668617364498246
0.074,0.020659113290006914,0.020659113290006914,-0.043802654859288734,0.06668617364498246,0.02051955450457805,0.02058151393572499,0.06668617364498246
0.076,0.07343786987031509,0.07343786987031509,0.04568653159541851,0.0668898321519513,0.07361568709503079,0.07353300436371697,0.0668898321519513
0.078,0.12561344066113467,0.12561344066113467,0.08213719280208381,0.0668898321519513,0.12561290558907642,0.12559429483740192,0.0668898321519513
0.08,0.17718582566246477,0.17718582566246477,0.01688144952160342,0.06711988933176795,0.1770084240799228,0.17705428604170587,0.06711988933176795
0.082,0.2281550248743054,0.2281550248743054,0.08411339361996364,0.08451298024799998,0.22829899171850823,0.22820132380821728,0.08451298024799998
0.084,0.278521038296657,0.278521038296657,0.19505752824372025,0.19535963839115822,0.2784920698317953,0.27846043834717,0.19535963839115822
0.086,0.32828386592951864,0.32828386592951864,0.45775111800596424,0.27260909453426957,0.32808411247639446,0.32811932526774606,0.27260909453426957
0.088,0.37744350777289215,0.37744350777289215,0.08745342087798252,0.27284471398328886,0.37757153777681973,0.3774656741840655,0.27284471398328886
0.09,0.42599996382677596,0.42599996382677596,0.49833124372529136,0.39624506344265026,0.4259614726129213,0.42592405387824117,0.39624506344265026
0.092,0.4739532340911705,0.4739532340911705,0.5477921871155198,0.3964407979053047,0.4737502299476323,0.4737820216585334,0.3964407979053047
0.094,0.5213033185660758,0.5213033185660758,0.40572657713277765,0.3964407979053047,0.5214341402578947,0.5213271641397911,0.3964407979053047
0.096,0.5680502172514919,0.5680502172514919,0.36337227621488855,0.3966002552140682,0.5680200266808949,0.5679836028794423,0.3966002552140682
0.098,0.6141939301474189,0.6141939301474189,0.16502968299503046,0.3966002552140682,0.6140039695198694,0.6140385258958483,0.3966002552140682
0.1,0.6597344572538566,0.6597344572538566,0.9700543637529884,0.8016140018256437,0.6598823191396274,0.6597793990275066,0.8016140018256437
0.102,0.7046717985708044,0.7046717985708044,0.8071073977811839,0.8016140018256437,0.7046614660185795,0.7046295709231866,0.8016140018256437
0.104,0.7490059540982636,0.7490059540982636,0.6298170648481601,0.8018232817429585,0.7488376994939244,0.748876400004884,0.8018232817429585
0.106,0.7927369238362336,0.7927369238362336,0.8476777532160861,0.847237561732998,0.792907644988596,0.7928078842170357,0.847237561732998
0.108,0.8358647077847143,0.8358647077847143,0.991427881152908,0.9242721189596108,0.8358774260415395,0.8358469501890992,0.9242721189596108
0.11,0.878389305943706,0.878389305943706,1.013531197783035,0.9242721189596108,0.8782436229335921,0.8782816509660816,0.9242721189596108
0.112,0.9203107183132082,0.9203107183132082,0.7677696370348711,0.924497189897631,0.9205030684384727,0.9204004163173266,0.924497189897631
0.114,0.9616289448932211,0.9616289448932211,1.0238687584582713,1.023719511185039,0.9616616620590136,0.9616260356233947,1.023719511185039
0.116,1.0023439856837448,1.0023439856837448,1.3703952143545879,1.111904509935617,1.0022161630212771,1.00224703922383,1.111904509935617
0.118,1.0424558406847793,1.0424558406847793,0.8538284901100156,1.111904509935617,1.0426635157879967,1.0425520202113847,1.111904509935617
0.12,1.0819645098963246,1.0819645098963246,1.2565092562820945,1.2340327392557482,1.082009408064855,1.0819638680017216,1.2340327392557482
0.122,1.1208699933183808,1.1208699933183808,1.254051903778747,1.2340327392557482,1.1207507030964745,1.1207713049453518,1.2340327392557482
0.124,1.1591722909509474,1.1591722909509474,1.2975008863615112,1.2342485186968801,1.1593844386691134,1.159262967669124,1.2342485186968801
0.126,1.196871402794025,1.196871402794025,1.24144479276875,1.2342485186968801,1.1969160641178138,1.19686195108505,1.2342485186968801
0.128,1.2339673288476134,1.2339673288476134,1.1231374183676386,1.2344677428217925,1.2338425578583432,1.2338569836663826,1.2344677428217925
0.13,1.2704600691117123,1.2704600691117123,1.3758417350316101,1.3261338031678793,1.2706610700028507,1.2705366179219368,1.3261338031678793
0.132,1.3063496235863221,1.3063496235863221,1.2771650862958208,1.3263694226168985,1.3063768709216856,1.3063241719289314,1.3263694226168985
0.134,1.341635992271443,1.341635992271443,1.5534866938244163,1.3826775643668414,1.3414871085031521,1.3415082351261725,1.3826775643668414
0.136,1.3763191751670742,1.3763191751670742,1.3365315663371047,1.3828937061832236,1.3764891082436113,1.3763772430616061,1.3828937061832236
0.138,1.410399172273216,1.410399172273216,1.2589526621055658,1.3828937061832236,1.4103881515095185,1.4103545820303465,1.3828937061832236
0.14,1.4438759835898691,1.4438759835898691,1.436979375283874,1.43346927457281,1.443681833835482,1.4437286770666369,1.43346927457281
0.142,1.4767496091170322,1.4767496091170322,1.4298684368608108,1.43346927457281,1.4768673026783994,1.476787802732968,1.43346927457281
